track_id,album,artist,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,favorite
7MAibcTli4IisCtbHKrGMh,Leave The Door Open,Bruno Mars,0,0.0,1.53e-06,0.000355,0.0,0.0202,-7.542,0.0,119.6005,0
5QO79kh1waicV47BqGRL3g,After Hours,The Weeknd,0,0.0596,2.03e-06,0.000568,0.0,0.0211,-7.542,0.0228,34.303,0
1diS6nkxMQc3wwC4G1j0bh,Future Nostalgia (The Moonlight Edition),Dua Lipa,0,0.061,2.15e-06,0.000569,0.0,0.0228,-7.542,0.0229,34.875,0
4u4NyuceXP7Uzh7XFJKCr1,Hold On,Justin Bieber,0,0.0612,2.31e-06,0.000707,0.0,0.0229,-7.542,0.0232,37.399,0
3Ofmpyhv5UAQ70mENzB277,Astronaut In The Ocean,Masked Wolf,0,0.0624,2.66e-06,0.000737,0.0,0.0251,-7.542,0.0234,44.598,0
5uEYRdEIh9Bo4fpjDd4Na9,Goosebumps (Remix),Travis Scott,0,0.0627,2.71e-06,0.00086,0.0,0.0252,-7.542,0.0236,45.452,0
1XXimziG1uhM0eDNCZCrUl,Up,Cardi B,0,0.063,2.8e-06,0.000943,0.0,0.0264,-7.542,0.0236,46.771,0
3aQem4jVGdhtg116TmJnHz,Scary Hours 2,Drake,0,0.063,2.91e-06,0.000949,0.0,0.0272,-7.542,0.0237,49.026,0
463CkQjx2Zk1yXoBuierM9,Levitating (feat. DaBaby),Dua Lipa,0,0.0632,3.11e-06,0.000953,0.0,0.0272,-7.542,0.0238,49.668,0
6tDDoYIxWvMLTdKpjFkc1B,Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis,0,0.0635,3.23e-06,0.000956,0.0,0.0276,-7.542,0.0241,50.92,0
7lPN2DXiMsVn7XUKtOW1CS,drivers license,Olivia Rodrigo,0,0.0636,3.69e-06,0.000959,0.0,0.0281,-7.542,0.0241,51.979,0
27OeeYzk6klgBh83TSvGMA,F*CK LOVE (SAVAGE),The Kid LAROI,0,0.0637,3.74e-06,0.00102,0.0,0.0284,-7.542,0.0241,52.019,0
3USxtqRwSYz57Ewm6wWRMp,Dreamland,Glass Animals,0,0.0639,3.78e-06,0.0011,0.0,0.0288,-7.542,0.0241,53.299,0
2pn8dNVSpYnAtlKFC8Q0DJ,R,ROSÉ,0,0.0639,3.79e-06,0.00111,0.0,0.0289,-7.542,0.0242,53.507,0
6f3Slt0GbA2bPZlz0aIFXN,The Business,Tiësto,0,0.0639,3.81e-06,0.00119,0.0,0.0291,-7.542,0.0242,53.857,0
60ynsPSSKe6O3sfwRnIBRf,Hot Pink,Doja Cat,0,0.0643,3.81e-06,0.00121,0.0,0.0298,-7.542,0.0242,54.259,0
5Kskr9LcNYa0tpt5f0ZEJx,Calling My Phone,Lil Tjay,0,0.0649,4.34e-06,0.00133,0.0,0.0299,-7.542,0.0242,54.712,0
1KixkQVDUHggZMU9dUobgm,Heaven & Hell,Ava Max,0,0.0651,4.47e-06,0.00154,0.0,0.0303,-7.542,0.0243,55.942,0
2vBET2pmrQqafaS6zIaYta,Translation,Black Eyed Peas,0,0.0651,4.51e-06,0.00162,0.0,0.0305,-7.542,0.0243,55.981,0
27tDoZsybt3KvJWTDoW9id,When It's All Said And Done... Take Time,Giveon,0,0.0653,4.62e-06,0.00168,0.0,0.0306,-7.542,0.0244,56.017,0
0D75ciM842cdUMKSMfAR9y,Baila Conmigo (with Rauw Alejandro),Selena Gomez,0,0.0659,4.86e-06,0.00178,0.0,0.0307,-7.542,0.0244,56.138,0
3YJJjQPAbDT7mGpX3WtQ9A,Good Days,SZA,0,0.066,4.99e-06,0.00183,0.0,0.0308,-7.542,0.0244,56.363,0
2etHQJxIbV0soyPhelVs9Y,Best Friend (feat. Doja Cat),Saweetie,0,0.0662,5e-06,0.00185,0.0,0.0312,-7.542,0.0245,56.647,0
5YaskwnGDZFDRipaqzbwQx,Your Love (9PM),ATB,0,0.0664,5.14e-06,0.00188,0.0,0.0313,-7.542,0.0245,56.658,0
6Im9k8u9iIzKMrmV7BWtlF,Positions,Ariana Grande,0,0.0667,5.35e-06,0.00194,0.0,0.0316,-7.542,0.0246,56.714,0
54bFM56PmE4YLRnqpW6Tha,Therefore I Am,Billie Eilish,0,0.0669,5.36e-06,0.00196,0.0,0.032,-7.542,0.0246,56.733,0
3Yyj76BeYt3QIffwKpRuKL,Small Town Boy,Duncan Laurence,0,0.067,5.39e-06,0.00199,0.0,0.0322,-7.542,0.0246,56.862,0
3XoflnowYPFRPOh3uFvHcm,Selfish Love (with Selena Gomez),DJ Snake,0,0.0671,5.61e-06,0.002,0.0,0.0323,-7.542,0.0247,57.495,0
6ft4hAq6yde8jPZY2i5zLr,Paradise,MEDUZA,0,0.068,5.63e-06,0.00202,0.0,0.0323,-7.542,0.0248,57.921,0
4cG7HUWYHBV6R6tHn1gxrl,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Riton,0,0.068,5.8e-06,0.00202,0.0,0.0325,-7.542,0.0248,58.399,0
1RSzyxqtIO4yX3EyiV4zT5,Whoopty,CJ,0,0.0681,5.91e-06,0.00208,0.0,0.0325,-7.542,0.0248,58.428,0
5JqZ3oqF00jkT81foAFvqg,Prisoner (feat. Dua Lipa),Miley Cyrus,0,0.0685,6.31e-06,0.00219,0.0,0.0327,-7.542,0.0249,58.658,0
31qCy5ZaophVA81wtlwLc4,Anyone,Justin Bieber,0,0.069,6.51e-06,0.00219,0.0,0.0327,-7.542,0.025,59.041,0
5SFXOMJJ334Wn2PwBHeRZN,Girls Like Us,Zoe Wees,0,0.0692,6.76e-06,0.00233,0.0,0.0327,-7.542,0.025,59.127,0
3iw6V4LH7yPj1ESORX9RIN,Wellerman (Sea Shanty / 220 KID x Billen Ted Remix),Nathan Evans,0,0.0694,7.34e-06,0.00237,0.0,0.0327,-7.542,0.025,59.173,0
2h9TDNEXRhcDIV3fsoEVq9,What Other People Say,Sam Fischer,0,0.0695,7.34e-06,0.0024,0.0,0.0327,-7.542,0.0251,59.184,0
45bE4HXI0AwGZXfZtMp8JR,you broke me first,Tate McRae,0,0.0699,7.34e-06,0.00246,0.0,0.0328,-7.542,0.0251,59.308,0
4pBhTGnL5N5KqsyqU58jee,I'm not Pretty,JESSIA,0,0.07,7.66e-06,0.00255,0.0,0.0333,-7.542,0.0252,59.34,0
2Z8yfpFX0ZMavHkcIeHiO1,Monster,Shawn Mendes,0,0.0703,7.83e-06,0.00257,0.0,0.0333,-7.542,0.0253,59.439,0
1tkg4EHVoqnhR6iFEXb60y,Shoot For The Stars Aim For The Moon,Pop Smoke,0,0.0703,7.84e-06,0.0026,0.0,0.0333,-7.542,0.0253,59.565,0
3tjFYV6RSFtuktYl3ZtYcq,Mood (feat. iann dior),24kGoldn,0,0.0704,7.87e-06,0.00274,0.0,0.0335,-7.542,0.0253,59.612,0
5YYW3yRktprLRr47WK219Y,Ella No Es Tuya (Remix),Rochy RD,0,0.0709,8.06e-06,0.00278,0.0,0.0335,-7.542,0.0253,59.635,0
7igeByaBM0MgGsgXtNxDJ7,positions,Ariana Grande,0,0.0709,8.38e-06,0.00282,0.0,0.0337,-7.542,0.0253,59.963,0
0ri0Han4IRJhzvERHOZTMr,The Prelude,Pink Sweat$,0,0.0711,8.66e-06,0.00299,0.0,0.0341,-7.542,0.0253,59.989,0
1nYzjrdVQ8RpF93M0jPFW7,Remember That Night?,Sara Kays,0,0.0712,8.67e-06,0.00299,0.0,0.0341,-7.542,0.0253,60.019,0
0lx2cLdOt3piJbcaXIV74f,evermore,Taylor Swift,0,0.0712,8.86e-06,0.00301,0.0,0.0343,-7.542,0.0254,60.171,0
